Micros,Voltage,Pack SoC,DCL,Failsafe,DTC1,DTC2,Temperature High,PC,Torque,RPM,Motor_temp,Controller_temp,time_interval,input_power,output_power,speed,motor_efficiency,E_remaining,E_per_km
41689075,57.2,94.0,176,0,0,0,28,7.0,6.7,316,32,32,0.518996,0.4004,0.221741413,2.281658792,55.379973276723284,8.459999999999999,0.1754863616785695
42208076,57.1,94.0,176,0,0,0,28,10.3,8.9,330,32,32,0.519001,0.58813,0.3076018,2.382744941,52.30166799857173,8.459999999999999,0.2468287687364352
42727078,57.0,94.0,176,0,0,0,28,11.2,9.6,370,32,32,0.519002,0.6384,0.3720128,2.67156251,58.272681704260656,8.459999999999999,0.2389612811268264
43246076,57.0,94.0,176,0,0,0,28,13.1,9.6,492,32,32,0.518998,0.7467,0.49467648,3.552456094,66.24835676978705,8.459999999999999,0.2101926048463077
43765078,57.0,94.0,176,0,0,0,28,12.9,9.6,541,32,32,0.519002,0.7353,0.54394304,3.906257616,73.97566163470694,8.459999999999999,0.1882364329961795
44284079,57.0,94.0,176,0,0,0,28,13.6,9.6,657,32,32,0.519001,0.7752,0.66057408,4.743828565,85.21337461300308,8.459999999999999,0.1634123133621292
44805075,56.9,94.0,176,0,0,0,28,15.2,9.5,527,32,32,0.520996,0.86488,0.524347433,3.805171467,60.62661097493294,8.459999999999999,0.2272906773060274
45324079,56.9,94.0,176,0,0,0,28,16.2,9.6,612,32,32,0.519004,0.92178,0.61532928,4.4189088,66.75446201913688,8.459999999999999,0.2085990097826866
45843075,56.7,94.0,176,0,0,0,28,21.9,9.6,720,32,32,0.518996,1.24173,0.7239168,5.198716235,58.299050518228604,8.459999999999999,0.2388531983415709
46362079,56.7,94.0,176,0,0,0,28,23.7,8.8,917,32,32,0.519004,1.34379,0.845156107,6.621142761,62.89346601775575,8.459999999999999,0.2029543914858959
46881075,56.7,94.0,176,0,0,0,28,22.6,9.4,978,32,32,0.518996,1.28142,0.96283448,7.061589553,75.13808743425263,8.459999999999999,0.1814633929630772
47400076,56.7,94.0,176,0,0,0,28,22.9,9.5,968,32,32,0.519001,1.29843,0.963127733,6.989385161,74.1763308765201,8.459999999999999,0.1857717052488531
48438079,56.8,94.0,176,0,0,0,28,20.1,7.6,898,32,32,1.038003,1.14168,0.714784053,6.483954416,62.60809097120033,8.459999999999999,0.176077733856789
48958078,56.7,94.0,176,0,0,0,28,21.4,8.8,839,32,32,0.519999,1.21338,0.773267147,6.057948502,63.72835772799947,8.459999999999999,0.20029552902264
49477079,56.7,94.0,176,0,0,0,28,21.0,9.7,898,32,32,0.519001,1.1907,0.912290173,6.483954416,76.61797035357353,8.459999999999999,0.1836379350634842
49996078,56.8,94.0,176,0,0,0,28,17.9,8.7,946,32,32,0.518999,1.01672,0.86197628,6.830535498,84.78010465024785,8.459999999999999,0.1488492374130401
50515076,56.8,94.0,176,0,0,0,28,19.0,9.2,715,32,32,0.518998,1.0792,0.688935867,5.162614039,63.837645200148266,8.459999999999999,0.2090413871436806
51034078,57.1,94.0,176,0,0,0,28,5.2,8.9,896,32,32,0.519002,0.29692,0.835185493,6.469513537,281.2830031658359,8.459999999999999,0.0458952590951198
51553076,57.2,94.0,176,0,0,0,28,0.2,0.0,320,32,32,0.518998,0.01144,0.0,2.310540549,0.0,8.459999999999999,0.0049512223470612
52591078,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.519001,0.00573,0.0,0.0,0.0,8.459999999999999,
53110075,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.518997,0.00573,0.0,0.0,0.0,8.459999999999999,
53630078,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.520003,0.00573,0.0,0.0,0.0,8.459999999999999,
54149077,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.518999,0.00573,0.0,0.0,0.0,8.459999999999999,
64532075,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.518997,0.00573,0.0,0.0,0.0,8.459999999999999,
65051078,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.519003,0.00573,0.0,0.0,0.0,8.459999999999999,
66089076,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,1.037998,0.00573,0.0,0.0,0.0,8.459999999999999,
66608077,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.519001,0.00573,0.0,0.0,0.0,8.459999999999999,
67128076,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.519999,0.00573,0.0,0.0,0.0,8.459999999999999,
67647077,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.519001,0.00573,0.0,0.0,0.0,8.459999999999999,
68166078,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.519001,0.00573,0.0,0.0,0.0,8.459999999999999,
68685075,57.3,94.0,176,0,0,0,28,0.1,0.0,0,32,32,0.518997,0.00573,0.0,0.0,0.0,8.459999999999999,
